Name,Description,Duration,Year,Type
Scream 4,"Con terapia y ayuda, la joven Sidney Prescott (Neve Campbell) ha conseguido dejar atrás todas las muertes que contempló años atrás en su pueblo natal, Woodsboro.","2 horas, 10 minutos",2011,movie
Lila y Eve,"Lila y Eve dos madres destrozadas por el asesinato de sus hijos, unen fuerzas para vengarse de los traficantes de droga responsables de la muerte del hijo de Lila.Pero a medida que la violencia crece Lila empieza a descubrir la verdadera identidad de Eve.","1 horas, 51 minutos",2014,movie
Terminal,"En una oscura ciudad, dos sicarios intentan cumplir una escalofriante misión. Vince y Alfred tienen la instrucción de permanecer en un hotel hasta que alguien aparezca en una habitación en el edificio de enfrente; solo entonces deben de matarlo.","1 horas, 53 minutos",2017,movie
Diario de un seductor,"Paul Kemp  es un escritor norteamericano que ha empezado a trabajar como redactor para un periódico caribeño. Su nuevo ambiente, poco a poco, empieza a enrarecerse. Amor, envidia, celos y mucho alcohol son los principales ingredientes del relato.","2 horas, 19 minutos",2010,movie
Peligro en la montaña,"Joe Braven es un humilde leñador que vive en la frontera de los Estados Unidos. Cuando es asaltado por un grupo de traficantes de drogas en la recluida cabaña donde vive, hará todo lo que puede para proteger a su familia.","1 horas, 51 minutos",2018,movie
Zona de miedo,"En Irak, una unidad de élite de artificieros norteamericanos actúa en una caótica ciudad donde cualquier persona puede ser un enemigo y cualquier objeto, una bomba.","2 horas, 32 minutos",2007,movie
Aceleracion Maxima,"Una madre tiene una noche para hacer algunas tareas en Los Ángeles que requieren un arma, si quiere ver a su hijo con vida. Está retenido por un jefe de la mafia.","1 horas, 41 minutos",2018,movie
En el Rastro del Asesino,Un policía trabaja para averiguar si un adolescente violento asesinó a su familia.,"1 horas, 59 minutos",2008,movie
Tres Ladrones y un Bebé,"Fong es un ladrón con mala suerte. Con unas habilidades excepcionales, Fong siempre pierde todas sus ganancias en sus robos de apuestas. Su gran oportunidad llega cuando un gángster les pide a él y a su compañero pulpo que secuestren a un importante bebé.","2 horas, 28 minutos",2005,movie
La Hora de la Verdad,"El plan de los tres ladrones lo tiene todo para salir adelante -secuestrar al nieto de un millonario y ganar dinero fácil- pero no contaban con el carisma del bebé, lo que enternece el corazón del trío y dificulta la tarea.","2 horas, 25 minutos",2003,movie
